Algorithm,n,Mean,Standard Deviation,Algorithm
Elementary_Multiplication,32,0.0005903244018554688,7.77069025167386e-05,Elementary_Multiplication
Elementary_Multiplication,64,0.0029480457305908203,0.001174583279383044,Elementary_Multiplication
Elementary_Multiplication,128,0.01805599530537923,0.0011823145926674126,Elementary_Multiplication
Elementary_Multiplication,256,0.1364738941192627,0.004228070050362537,Elementary_Multiplication
Elementary_Multiplication,512,1.1386030515034993,0.012668278366468562,Elementary_Multiplication
Elementary_Multiplication,1024,29.34949429829915,0.17504295619587862,Elementary_Multiplication
Elementary_Multiplication,2048,239.53923002878827,2.8306364917672826,Elementary_Multiplication
Elementary_Transposed,32,0.0012132326761881511,0.00015644153201220952,Elementary_Transposed
Elementary_Transposed,64,0.007411400477091472,0.0009304508064614503,Elementary_Transposed
Elementary_Transposed,128,0.023968299229939774,0.013626810477007758,Elementary_Transposed
Elementary_Transposed,256,0.09208035469055176,0.015947903182575718,Elementary_Transposed
Elementary_Transposed,512,0.6040143171946207,0.06712965550247285,Elementary_Transposed
Elementary_Transposed,1024,4.323074658711752,0.08305394678219702,Elementary_Transposed
Elementary_Transposed,2048,35.16215999921163,0.5637486223139262,Elementary_Transposed
Elementary_Transposed,4096,279.43262434005743,1.1099587620828726,Elementary_Transposed
Recursive_Copying,32,0.013150691986083984,7.127838335961443e-05,Recursive_Copying
Recursive_Copying,64,0.1061563491821289,0.0005029078668620675,Recursive_Copying
Recursive_Copying,128,0.8853700160980225,0.007910132568932254,Recursive_Copying
Recursive_Copying,256,7.243780692418415,0.0195450103278742,Recursive_Copying
Recursive_Copying,512,58.679600318272904,1.697098800601452,Recursive_Copying
Recursive_Copying,1024,466.5915296077728,0.09033298877699353,Recursive_Copying
Recursive_Copying,2048,3743.662679672241,5.292883810201023,Recursive_Copying
Recursive_Write_Through,32,0.0021533171335856123,0.0010337456045991509,Recursive_Write_Through
Recursive_Write_Through,64,0.003141562143961589,0.0004266499862375968,Recursive_Write_Through
Recursive_Write_Through,128,0.029236714045206707,0.018327640760504263,Recursive_Write_Through
Recursive_Write_Through,256,0.14179364840189615,0.003253084235523439,Recursive_Write_Through
Recursive_Write_Through,512,1.1311177412668865,0.010070535013087405,Recursive_Write_Through
Recursive_Write_Through,1024,9.216727097829184,0.370256071627376,Recursive_Write_Through
Recursive_Write_Through,2048,86.72353974978131,2.188852466373493,Recursive_Write_Through
Recursive_Write_Through,4096,583.9423683484397,0.6859777749155636,Recursive_Write_Through
Strassen,32,0.000977913538614909,5.408704702661175e-05,Strassen
Strassen,64,0.004022280375162761,2.0749722944127395e-05,Strassen
Strassen,128,0.022728999455769856,5.136209861091666e-05,Strassen
Strassen,256,0.14775530497233072,0.0006147328595576532,Strassen
Strassen,512,1.0818019707997641,0.004742304387491925,Strassen
Strassen,1024,8.119081656138103,0.050294124395201534,Strassen
Strassen,2048,60.105894724527985,0.6717108028448199,Strassen
Strassen,4096,432.2615196704865,0.7229042251286886,Strassen
Strassen_Parallel,32,0.12924536069234213,0.004717009816177715,Strassen_Parallel
Strassen_Parallel,64,0.2400673230489095,0.02048156084865945,Strassen_Parallel
Strassen_Parallel,128,0.3196630477905273,0.13519278826866427,Strassen_Parallel
Strassen_Parallel,256,0.4900702635447184,0.013809145100521971,Strassen_Parallel
Strassen_Parallel,512,1.8138974507649737,0.04286798121038357,Strassen_Parallel
Strassen_Parallel,1024,9.394947926203411,0.8054975092124284,Strassen_Parallel
Strassen_Parallel,2048,51.016935030619294,0.2792849000943933,Strassen_Parallel
Strassen_Parallel,4096,331.247326374054,9.133646157652619,Strassen_Parallel
Tiled_Multiplication,32,0.0011819998423258464,0.0005275819244184688,Tiled_Multiplication
Tiled_Multiplication,64,0.004076083501180014,0.0004694968137016385,Tiled_Multiplication
Tiled_Multiplication,128,0.03592721621195475,0.021914004922010847,Tiled_Multiplication
Tiled_Multiplication,256,0.16107670466105142,0.0011758327264975398,Tiled_Multiplication
Tiled_Multiplication,512,1.2586750189463298,0.033024731830400625,Tiled_Multiplication
Tiled_Multiplication,1024,9.394446770350136,0.5044622975954993,Tiled_Multiplication
Tiled_Multiplication,2048,73.26598103841145,0.3769577659602467,Tiled_Multiplication
Tiled_Multiplication,4096,596.6594766775768,6.1919210942094685,Tiled_Multiplication
